ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11550150,JB571345,12/29/2018 12:50,004XX N CLARK ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1831,18,42,8,6,1175457,1903377,2018,1/10/2019 15:16,41.89024327,-87.63108955,"(41.890243266, -87.631089546)",22,"4,446",37,670,36,55,14,73
11550143,JB571334,12/29/2018 12:40,004XX N CLARK ST,890,THEFT,FROM BUILDING,CONVENIENCE STORE,FALSE,FALSE,1831,18,42,8,6,1175457,1903377,2018,1/10/2019 15:16,41.89024327,-87.63108955,"(41.890243266, -87.631089546)",22,"4,446",37,670,36,55,14,73
11555575,JC103006,12/29/2018 12:00,069XX S LAFAYETTE AVE,810,THEFT,OVER $500,RESTAURANT,TRUE,FALSE,731,7,6,69,6,1177024,1859232,2018,1/31/2019 16:05,41.7690705,-87.62666845,"(41.769070498, -87.626668445)",31,"21,559",67,513,32,11,17,210
11550172,JB571382,12/29/2018 11:30,0000X W RANDOLPH ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,111,1,42,32,6,1176157,1901285,2018,1/10/2019 15:16,41.88448696,-87.62858195,"(41.884486956, -87.628581948)",22,"14,310",38,92,36,41,22,88
11550019,JB571140,12/29/2018 8:51,054XX W MADISON ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1522,15,29,25,6,1139716,1899481,2018,1/10/2019 15:16,41.8802798,-87.76244329,"(41.880279804, -87.762443285)",11,"22,216",26,674,7,32,25,97
11550178,JB571263,12/29/2018 5:39,013XX N WELLS ST,620,BURGLARY,UNLAWFUL ENTRY,RESTAURANT,FALSE,FALSE,1821,18,2,8,5,1174456,1909468,2018,1/10/2019 15:16,41.90697971,-87.63458346,"(41.906979712, -87.634583455)",51,"14,926",37,290,11,54,14,198
11550145,JB571379,12/29/2018 4:38,002XX W SUPERIOR ST,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1831,18,42,8,5,1174486,1905317,2018,1/10/2019 15:16,41.89558849,-87.63459745,"(41.895588485, -87.63459745)",22,"4,446",37,652,36,55,14,73
11550700,JB571035,12/29/2018 4:17,020XX W DIVISION ST,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1212,12,1,24,5,1162650,1907989,2018,1/10/2019 15:16,41.90317694,-87.67799322,"(41.903176939, -87.677993219)",24,"21,560",25,476,41,4,15,63
11550157,JB571120,12/29/2018 2:00,007XX N OGDEN AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1215,12,27,24,5,1168894,1905305,2018,1/10/2019 15:16,41.89567869,-87.65513578,"(41.895678688, -87.655135777)",41,"22,620",25,522,46,49,15,78
11550468,JB571848,12/29/2018 2:00,034XX N HALSTED ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,6,1170308,1923273,2018,1/10/2019 15:16,41.94495301,-87.64941621,"(41.944953005, -87.649416212)",38,"4,449",57,731,25,22,5,28
