"uid","store_name","license_id","account_number","square_feet","buffer_size","address","zip_code","community_area_name_x","community_area_x","ward","census_tract","census_block","x_coordinate","y_coordinate","latitude","longitude","location","community_areas","zip_codes","boundaries_zip_codes","census_tracts","wards","computed_region_awaf_s7ux","KEY","community_area_y","community_area_name_y","birth_rate","low_birth_weight","prenatal_care_beginning_in_first_trimester","preterm_births","teen_birth_rate","infant_mortality_rate","below_poverty_level","crowded_housing","dependency","no_high_school_diploma","per_capita_income","unemployment"
265,"FURTERIA EL SERRANITO",2031979,352794,2500,"B","1755 W 38TH ST",60609,"MCKINLEY PARK",59,11,17031590700,170315907001015,1165040.19696125,1879467.37705179,41.8248606245,-87.6700230192,"(41.8248606245, -87.6700230192)",56,14924,37,721,1,26,"mckinleypark",59,"McKinley Park",16.7,7.3,80.5,9.9,47.9,7.3,16.1,6.9,33.7,31.8,17577,11.9
266,"PEORIA PACKING LTD",33970,14795,8000,"B","1300 W LAKE ST",60607,"NEAR WEST SIDE",28,27,17031833000,170318330002051,1167882.58542972,1901616.99427083,41.88558042,-87.6589569108,"(41.88558042, -87.6589569108)",29,14917,44,63,46,41,"nearwestside",28,"Near West Side",18.2,9,77.6,10.5,36.7,9.1,21.6,3.8,22.9,11.2,41488,10.7
267,"CARNICERIA JIMENEZ INC",1693,85292,16000,"A","4204 W NORTH AVE",60639,"HUMBOLDT PARK",23,30,17031230500,170312306004000,1148051.22483604,1910341.24295742,41.9099252471,-87.7315572163,"(41.9099252471, -87.7315572163)",24,22615,2,285,49,27,"humboldtpark",23,"Humboldt Park",19.2,12.3,70.9,11.7,77.9,9.8,32.6,11.2,38.3,36.8,13391,12.3
268,"EXTRA VALUE FOOD & LIQUOR",1823321,319024,5000,"B","6257 S ASHLAND AVE",60636,"WEST ENGLEWOOD",67,16,17031670800,170316708002029,1166789.07905548,1862992.58622006,41.7796146658,-87.6640774893,"(41.7796146658, -87.6640774893)",65,22257,23,277,2,19,"westenglewood",67,"West Englewood",20.3,16.1,63.6,13.8,116.9,13.3,32.3,6.9,40.9,30.3,10559,34.7
269,"GOLDMORE FOOD",34046,14804,2500,"B","1949 W 51ST ST",60609,"NEW CITY",61,16,17031611700,170316117003002,1164000.68111457,1870810.75465706,41.8011278091,-87.6740803441,"(41.8011278091, -87.6740803441)",59,14924,37,767,2,19,"newcity",61,"New City",21.4,11.8,75.9,12.2,94.3,7.9,30.6,12.2,42,42.4,12524,17.4
270,"SOLID GOLD",1490386,203033,3300,"B","3821 W ROOSEVELT RD",60624,"NORTH LAWNDALE",29,24,17031838700,170318387001005,1151058.50808789,1894398.94952069,41.866119494,-87.720927574,"(41.866119494, -87.720927574)",30,21572,57,33,14,36,"northlawndale",29,"North Lawndale",20.6,15.3,75.8,15.2,108.9,14.1,38.6,7.2,40.9,30.4,12548,18.5
271,"Food 4 Less Midwest",1596210,251246,62000,"A","7030 S ASHLAND AVE",60636,"WEST ENGLEWOOD",67,17,17031671500,170316715003031,1166858.45186619,1857955.50146968,41.7657907704,-87.6639668865,"(41.7657907704, -87.6639668865)",65,22257,23,283,31,17,"westenglewood",67,"West Englewood",20.3,16.1,63.6,13.8,116.9,13.3,32.3,6.9,40.9,30.3,10559,34.7
272,"CLARENDON FOOD MART INC",29515,11687,10000,"A","4183 N CLARENDON AVE",60613,"UPTOWN",3,46,17031031400,170310314003003,1170205.44111633,1928028.60541563,41.9580048015,-87.6496537356,"(41.9580048015, -87.6496537356)",31,21186,53,636,39,37,"uptown",3,"Uptown",13.1,8.3,77.7,10.3,35.1,6.5,22.7,4.6,22.2,13.6,32355,7.7
273,"JEWEL FOOD STORE #3043",1144384,259,37641,"A","443 E 34TH ST",60616,"DOUGLAS",35,4,17031351000,170313510002003,1180118.19435906,1882571.10978213,41.8330447382,-87.6146113644,"(41.8330447382, -87.6146113644)",1,21194,40,581,10,1,"douglas",35,"Douglas",10.3,11.7,76,10.2,34.2,13.4,26.1,1.6,31,16.9,23098,16.7
274,"LA PLAMA",22662,63389,15000,"A","4173 S ARCHER AVE",60632,"BRIGHTON PARK",58,14,17031580501,170315805012012,1157347.05587457,1876755.8258402,41.8175793077,-87.6983205863,"(41.8175793077, -87.6983205863)",55,22248,56,196,1,49,"brightonpark",58,"Brighton Park",20.6,7.2,82.7,8.3,58.1,5.9,23,13.2,39.8,48.2,13138,11.2
275,"SUPER MAS MARKET",1997806,347422,32000,"A","1422 W 47TH ST",60609,"NEW CITY",61,3,17031842600,170318426002060,1167499.01447434,1873621.13257986,41.8087654583,-87.6611701084,"(41.8087654583, -87.6611701084)",59,14924,37,123,3,12,"newcity",61,"New City",21.4,11.8,75.9,12.2,94.3,7.9,30.6,12.2,42,42.4,12524,17.4
276,"CARNICERIA EL PORVENIR",1768971,311076,2500,"B","150 E KENSINGTON AVE",60628,"WEST PULLMAN",53,9,17031530100,170315301001016,1179443.1805001,1828274.07861954,41.684063198,-87.6187429679,"(41.684063198, -87.6187429679)",50,21861,19,229,43,30,"westpullman",53,"West Pullman",15.3,14.9,71.3,14.4,67.8,11.9,24.3,3.3,42.2,22.6,16228,17
277,"RJ Liquors",1597198,292263,3550,"B","5640 W FULLERTON AVE",60639,"BELMONT CRAGIN",19,30,17031190602,170311906022035,1138190.02891264,1915426.68518388,41.9240644164,-87.7676604864,"(41.9240644164, -87.7676604864)",19,22615,2,58,21,27,"belmontcragin",19,"Belmont Cragin",20,6.9,74.1,7.6,68.2,5.6,18.6,10,36.9,37,15246,11.5
278,"JEWEL FOOD STORE #3282",1337,259,24922,"A","4729 N CENTRAL AVE",60630,"PORTAGE PARK",15,45,17031150300,170311503007003,1138185.44041466,1930999.22491578,41.966797112,-87.7672994806,"(41.966797112, -87.7672994806)",15,21869,48,260,50,20,"portagepark",15,"Portage Park",14.2,6.9,79.8,8.7,41.7,4.7,12.3,4.4,34.6,18.7,23617,10.6
279,"PRESTIGE LIQUORS",1883995,325934,2900,"B","7104 S WESTERN AVE",60636,"CHICAGO LAWN",66,18,17031661000,170316610004000,1161564.7766862,1857442.92583228,41.7644955967,-87.6833842675,"(41.7644955967, -87.6833842675)",64,22257,58,333,30,6,"chicagolawn",66,"Chicago Lawn",20.1,9.4,78.4,10.8,67.4,11.1,22.2,6.5,40,31.6,14405,11.9
280,"THREE ROOSTERS, INC.",1980803,345267,4830,"B","12247 S HALSTED ST",60628,"WEST PULLMAN",53,34,17031530501,170315305012020,1173256.24446775,1823452.92624485,41.6709717654,-87.6415330496,"(41.6709717654, -87.6415330496)",50,21861,19,60,22,45,"westpullman",53,"West Pullman",15.3,14.9,71.3,14.4,67.8,11.9,24.3,3.3,42.2,22.6,16228,17
281,"BUY -N- SAVE",62460,19735,8000,"B","209 E 103RD ST",60628,"ROSELAND",49,9,17031490902,170314909022003,1179510.29771218,1836682.41426196,41.7071353216,-87.6182417299,"(41.7071353216, -87.6182417299)",45,21861,19,236,43,30,"roseland",49,"Roseland",14.3,12.2,69,12.8,79.7,9.6,19.5,3.1,40.9,17.4,17974,17.8
282,"A & B FOOD MARKET INC",43181,6483,10001,"A","5057 W DIVISION ST",60651,"AUSTIN",25,37,17031251100,170312511004000,1142184.0432472,1907473.37999805,41.9021664421,-87.7531823487,"(41.9021664421, -87.7531823487)",26,4299,5,585,45,4,"austin",25,"Austin",18,15.4,72.9,14.3,81.8,13.3,27,5.7,39,25,15920,21
283,"JEWEL FOOD STORE #3514",1385,259,20285,"A","3531 N BROADWAY",60657,"LAKE VIEW",6,46,17031061800,170310618001000,1171090.40810939,1923800.98614566,41.9463846516,-87.6465248633,"(41.9463846516, -87.6465248633)",57,4449,22,692,39,37,"lakeview",6,"Lake View",13.5,6.3,79.1,8.1,15.8,2.2,10.5,1.2,16.5,2.9,58227,4.7
284,"MR G'S FOOD & LIQUOR",1429,263,3000,"B","332 E 58TH ST",60637,"WASHINGTON PARK",40,20,17031400400,170314004002002,1179370.54060049,1866670.71861154,41.7894298575,-87.6178403398,"(41.7894298575, -87.6178403398)",7,22260,60,402,4,53,"washingtonpark",40,"Washington Park",19.3,17.7,74.9,16.9,82.6,19.3,39.1,4.9,40.9,28.3,13087,23.2
